City,Longitude,Latitude,Total Population,Male Population,Female Population,Age 0-18,Age 19-35,Age 36-50,Age 51+,Average Temperature (°C),Mortality Rate (%),Average Income (AED),Healthcare Expenditure (% of Income)
Fujairah,56.3315,25.2769,861542,593990,267552,129535,103115,95803,126285,39.59382891028543,1.0305491224362338,18980,12.959047420903872
Fujairah,56.3315,25.2769,1090558,751885,338673,266910,117762,88038,222979,39.60125885805689,0.5639462899111599,23101,6.881574208914824
Dubai,55.2708,25.2768,502448,346413,156035,251704,90631,293838,31074,32.60180105002433,0.2955683291913854,12130,6.963298858093584
Ajman,55.5136,25.4052,1589222,1095690,493532,69772,32196,212973,119715,37.95981697304249,0.5488493351231053,22854,6.0223051411419135
Dubai,55.2708,25.2768,1768084,1219006,549078,40442,102572,139402,299793,39.20278081840042,0.8776923078234643,17785,13.434793723016611
Ras Al Khaimah,55.9486,25.7915,3252782,2242632,1010150,194022,199807,28432,118157,26.20259552576987,0.41594589091029677,29539,9.482389502662079
Dubai,55.2708,25.2768,1757642,1211807,545835,15405,55680,100381,236469,34.29810643362798,0.958958806962322,11299,8.162365998733446
Umm Al Quwain,55.564,25.5225,4857094,3348726,1508368,255085,191457,28023,219973,33.18760053306015,0.18367654327278407,28575,11.356475298015543
Ajman,55.5136,25.4052,2117166,1459681,657485,173718,85910,151141,102244,26.86203885780961,1.0561326296613422,10722,5.188508622130913
Sharjah,55.391,25.3225,2792635,1925383,867252,118844,244744,167876,51769,30.91672533571132,1.031191076326726,12876,14.075379657493984
Abu Dhabi,54.366,24.4539,162338,111924,50414,226532,274922,269927,100355,34.42432716234476,1.0461843418434915,24812,11.016822612596874
Ajman,55.5136,25.4052,2321936,1600860,721076,91509,66774,137673,261217,25.503088167495495,0.7075720990684577,20734,7.424363548989051
Dubai,55.2708,25.2768,2870606,1979141,891465,147190,176129,221249,154102,39.45855010131646,0.9861181290723876,24036,7.938526605345193
Sharjah,55.391,25.3225,3623804,2498433,1125371,27848,207906,212226,26554,35.90461172446824,1.3625293061612205,19481,6.686226649606341
Dubai,55.2708,25.2768,3289491,2267941,1021550,27681,210199,176934,296761,25.95259864348825,1.3979671449438216,21343,11.417944019175241
Fujairah,56.3315,25.2769,2581164,1779585,801579,133113,272249,52820,135641,37.39489858325744,0.3873178849807345,25194,9.981957382501735
Dubai,55.2708,25.2768,1465647,1010491,455156,230322,283958,178539,285748,29.496683529176433,0.8266638992363842,20577,12.720376683586746
Umm Al Quwain,55.564,25.5225,3892326,2683566,1208760,214921,21155,133903,289847,25.56568778274385,1.0438865853667716,29767,12.803697373988328
Abu Dhabi,54.366,24.4539,4800222,3309516,1490706,251548,221151,248199,253962,28.678676656236565,0.1936609190793497,25259,7.888804937909896
Dubai,55.2708,25.2768,4771184,3289495,1481689,39585,194242,23394,58872,25.86244927987312,1.1014877021655032,16473,5.563434199531728
Ajman,55.5136,25.4052,767118,528889,238229,233094,228111,51610,94007,33.3441306846302,0.47660134003888166,25714,13.153533902445423
Umm Al Quwain,55.564,25.5225,4313855,2974190,1339665,96463,221455,293913,207700,38.229001248715335,1.1658149378098368,16117,11.83705999186726
Dubai,55.2708,25.2768,3957617,2728581,1229036,270145,226096,174150,232088,27.99338390374985,1.087236649613041,10628,12.862514359293165
Dubai,55.2708,25.2768,2004327,1381884,622443,201934,212134,63754,35942,38.62305537832068,1.287861245968442,21004,11.865048469423954
Ajman,55.5136,25.4052,1225005,844580,380425,169279,100674,180955,175989,27.677329666318432,1.3007931583959358,27985,8.274752908142641
Ajman,55.5136,25.4052,3526597,2431414,1095183,114934,277193,273274,78401,32.20860693506589,0.908335062393141,23729,13.306344761361684
Ajman,55.5136,25.4052,3307132,2280104,1027028,225280,287490,151909,191677,26.417840195786294,0.7736646390849973,26513,12.222626193300172
Sharjah,55.391,25.3225,774949,534289,240660,269574,43759,29012,159714,34.26431571775701,0.7696026593914471,14484,12.953625565664966
Abu Dhabi,54.366,24.4539,4755328,3278563,1476765,199993,158506,150254,204386,31.272359237032514,0.4156134490634793,28409,11.904326117098227
Fujairah,56.3315,25.2769,1502490,1035892,466598,259943,166838,216490,161729,25.994644131657004,1.0380252105204772,12290,7.166468360786514
Umm Al Quwain,55.564,25.5225,4584311,3160656,1423655,214539,24058,166626,163839,31.83682986309636,0.36552136814834124,16156,9.949249052712513
Umm Al Quwain,55.564,25.5225,3697684,2549370,1148314,38772,195490,134145,32551,34.03515984109841,0.17204643008011747,13766,12.320842509880425
Fujairah,56.3315,25.2769,3629122,2502100,1127022,199714,55650,94911,218906,25.225111202871375,1.0202745755524856,18539,11.971345433949434
Umm Al Quwain,55.564,25.5225,376845,259816,117029,200153,163952,145669,242764,31.592438618660445,0.1634225808411253,16286,11.821604779986444
Sharjah,55.391,25.3225,2677939,1846306,831633,295774,263635,62056,153421,37.81890467513405,0.8232049432785765,12337,5.669501818051298
Ajman,55.5136,25.4052,2450545,1689529,761016,245636,267951,287806,200206,25.64706785417493,0.11591880062722891,13725,9.673879352959762
Fujairah,56.3315,25.2769,3863934,2663991,1199943,148515,79645,238692,205805,35.617491622073544,1.0789370069355237,25930,7.63547349792351
Ras Al Khaimah,55.9486,25.7915,2251538,1552324,699214,131147,129437,92215,43694,34.60282045482977,0.3684705678446596,29955,12.413583478270912
Dubai,55.2708,25.2768,3342507,2304493,1038014,222837,22790,216038,52711,38.237409910205486,1.1523457892490279,19123,6.472706927473094
Umm Al Quwain,55.564,25.5225,4299536,2964317,1335219,44496,258149,138202,211246,38.16194935729838,0.8191591860551651,15466,6.0360273611657025
Sharjah,55.391,25.3225,910476,627728,282748,285811,40811,243495,113570,35.47614265467362,0.6083913154702356,20335,5.129032301628813
Sharjah,55.391,25.3225,4868117,3356326,1511791,89059,62099,180916,57840,31.52467416029301,0.9531447053787394,15217,14.25226220498812
Abu Dhabi,54.366,24.4539,2616716,1804096,812620,179314,116976,64847,48953,28.582246226609204,1.2172769213781918,16468,8.8947736463216
Fujairah,56.3315,25.2769,1943563,1339990,603573,155302,117331,298823,273387,35.58649358307426,0.9627839578139351,26645,5.05880794544622
Sharjah,55.391,25.3225,3916655,2700340,1216315,79181,12817,198890,213302,34.80434159070403,1.4059289670097772,24258,11.060182735149866
Ras Al Khaimah,55.9486,25.7915,134410,92669,41741,157434,164647,182963,96790,25.579472917800373,1.188602476074978,19262,9.917679290873782
Sharjah,55.391,25.3225,1534865,1058213,476652,165448,244088,248142,125658,28.325619587379833,0.632952280885797,10141,8.304411309599779
Sharjah,55.391,25.3225,1455090,1003212,451878,42221,141017,144040,237870,25.362113461934417,0.7699767009239595,15464,7.806778473418426
Fujairah,56.3315,25.2769,4291314,2958649,1332665,98474,224103,273189,29510,26.845440200857194,0.9186912948868429,25044,13.57078877178804
Abu Dhabi,54.366,24.4539,378677,261079,117598,247320,156272,240018,285121,37.20738534389426,0.9390830756413745,29809,10.661598373705594
Dubai,55.2708,25.2768,1691649,1166308,525341,191729,96706,101945,156852,26.762514270975238,1.2389701826798925,24339,10.633142118915142
Sharjah,55.391,25.3225,1314008,905943,408065,108847,174892,28975,128475,34.74018712105283,0.5522662723290822,25498,10.991268662770803
Umm Al Quwain,55.564,25.5225,1712205,1180480,531725,228095,247119,93213,117619,38.71343227838547,1.1924277772645522,20646,5.030458808047359
Ras Al Khaimah,55.9486,25.7915,2114309,1457711,656598,200448,33064,97649,298840,28.931832720193853,0.7146441254329773,16486,14.821407072876639
Ajman,55.5136,25.4052,2111931,1456072,655859,102733,184898,20340,218792,32.65202022979553,1.0793371928424538,21278,7.861887377942708
Fujairah,56.3315,25.2769,3030818,2089599,941219,146139,98685,268485,162580,28.594318530719914,0.49165581154334626,21575,12.417693083338685
Sharjah,55.391,25.3225,2970226,2047824,922402,280215,116697,253080,149909,27.832155242132913,1.4447666932157996,17386,11.784899008910482
Ajman,55.5136,25.4052,3053452,2105204,948248,258968,134022,85180,47562,38.910224143180336,0.8699385169442727,21058,6.940513470389722
Ras Al Khaimah,55.9486,25.7915,487880,336369,151511,136403,203933,216283,153100,25.56357064907963,1.0271878717917369,14024,5.686593187115285
Sharjah,55.391,25.3225,950581,655378,295203,277020,199613,246464,137806,28.841756828322076,0.8057094436571893,19305,8.955543377446364
Dubai,55.2708,25.2768,1019078,702603,316475,71562,164430,90779,232358,32.311674064473046,0.7439977554453101,26865,8.374804325110857
Ajman,55.5136,25.4052,3673950,2533007,1140943,79712,183569,17950,62100,30.17273162447781,0.5740868741436862,12312,12.29146624515867
Umm Al Quwain,55.564,25.5225,2633501,1815668,817833,31767,125486,101061,176473,32.915093546546025,0.11262645180992464,13216,10.023733731464976
Sharjah,55.391,25.3225,4556974,3141808,1415166,130105,133534,18897,127904,38.05446579016815,0.21941976368600485,27246,7.495105471347911
Sharjah,55.391,25.3225,3182398,2194106,988292,279301,275179,208745,64041,35.944199461197904,0.916494058159068,17184,6.011245503056552
Dubai,55.2708,25.2768,2020621,1393118,627503,130251,141053,269977,20353,38.13304361673389,1.043716300590267,18601,12.129542479786075
Abu Dhabi,54.366,24.4539,161240,111167,50073,42604,167656,142921,276228,33.17173582975764,0.8245997707661422,15669,8.238633503947963
Ajman,55.5136,25.4052,3989193,2750351,1238842,74502,236874,218278,292120,37.26493323392608,0.5713213402654321,26271,13.827109558419858
